target_id,gene_symbol,rna_status,read_count,evidence_detail
hla_b,HLA-B,detected,879436,"Modal mounted-S3 hs37d5 RNA locus 6:31321649-31324965; tumor_rna_reads=879436; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
hla_c,HLA-C,detected,768654,"Modal mounted-S3 hs37d5 RNA locus 6:31236526-31239907; tumor_rna_reads=768654; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
b2m,B2M,detected,175072,"Modal mounted-S3 hs37d5 RNA locus 15:45003675-45011075; tumor_rna_reads=175072; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
pdl1,CD274,detected,3869,"Modal mounted-S3 hs37d5 RNA locus 9:5450503-5470566; tumor_rna_reads=3869; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
pd1,PDCD1,detected,2664,"Modal mounted-S3 hs37d5 RNA locus 2:242792033-242801060; tumor_rna_reads=2664; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
4_1bb,TNFRSF9,detected,297,"Modal mounted-S3 hs37d5 RNA locus 1:7979907-8000926; tumor_rna_reads=297; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
cd3e,CD3E,detected,13291,"Modal mounted-S3 hs37d5 RNA locus 11:118175260-118186890; tumor_rna_reads=13291; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
cdk12,CDK12,detected,48333,"Modal mounted-S3 hs37d5 RNA locus 17:37617764-37721160; tumor_rna_reads=48333; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
cdk13,CDK13,detected,31180,"Modal mounted-S3 hs37d5 RNA locus 7:39989636-40136733; tumor_rna_reads=31180; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
ccnk,CCNK,detected,40244,"Modal mounted-S3 hs37d5 RNA locus 14:99947506-100001381; tumor_rna_reads=40244; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
rb1,RB1,detected,225783,"Modal mounted-S3 hs37d5 RNA locus 13:48877887-49056122; tumor_rna_reads=225783; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
ccne1,CCNE1,detected,24534,"Modal mounted-S3 hs37d5 RNA locus 19:30302805-30315215; tumor_rna_reads=24534; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
cdk4,CDK4,detected,101079,"Modal mounted-S3 hs37d5 RNA locus 12:58141510-58149796; tumor_rna_reads=101079; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
cdk6,CDK6,detected,85029,"Modal mounted-S3 hs37d5 RNA locus 7:92234235-92465908; tumor_rna_reads=85029; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
ccnd1,CCND1,detected,232214,"Modal mounted-S3 hs37d5 RNA locus 11:69455855-69469242; tumor_rna_reads=232214; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
cdkn2a,CDKN2A,detected,6954,"Modal mounted-S3 hs37d5 RNA locus 9:21967751-21995300; tumor_rna_reads=6954; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
cdkn2b,CDKN2B,detected,2381,"Modal mounted-S3 hs37d5 RNA locus 9:22002902-22009362; tumor_rna_reads=2381; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
pik3ca,PIK3CA,detected,149678,"Modal mounted-S3 hs37d5 RNA locus 3:178865902-178957881; tumor_rna_reads=149678; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
akt1,AKT1,detected,387709,"Modal mounted-S3 hs37d5 RNA locus 14:105235686-105262088; tumor_rna_reads=387709; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
pten,PTEN,detected,259390,"Modal mounted-S3 hs37d5 RNA locus 10:89622870-89731687; tumor_rna_reads=259390; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
fgfr1,FGFR1,detected,143028,"Modal mounted-S3 hs37d5 RNA locus 8:38268656-38326352; tumor_rna_reads=143028; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
fgfr2,FGFR2,detected,515832,"Modal mounted-S3 hs37d5 RNA locus 10:123237848-123357972; tumor_rna_reads=515832; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
esr1,ESR1,detected,8426,"Modal mounted-S3 hs37d5 RNA locus 6:151977826-152450754; tumor_rna_reads=8426; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
top1,TOP1,detected,65337,"Modal mounted-S3 hs37d5 RNA locus 20:39657458-39753127; tumor_rna_reads=65337; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
slfn11,SLFN11,detected,15513,"Modal mounted-S3 hs37d5 RNA locus 17:33677324-33700720; tumor_rna_reads=15513; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
abcb1,ABCB1,detected,8902,"Modal mounted-S3 hs37d5 RNA locus 7:87133175-87342611; tumor_rna_reads=8902; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
ugt1a1,UGT1A1,detected,41,"Modal mounted-S3 hs37d5 RNA locus 2:234668894-234681945; tumor_rna_reads=41; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
