contig,start,end,length,tumor_depth_sum,normal_depth_sum,tumor_mean_depth,normal_mean_depth,log2_tumor_normal,coverage_class
chr2,0,5000000,5000000,323188823,279908733,64.637765,55.981747,0.2074,neutral_or_low_signal
chr2,5000000,10000000,5000000,336517507,299859796,67.303501,59.971959,0.1664,neutral_or_low_signal
chr2,10000000,15000000,5000000,200832510,299458475,40.166502,59.891695,-0.5764,relative_loss
chr2,15000000,20000000,5000000,194513087,301057868,38.902617,60.211574,-0.6302,relative_loss
chr2,20000000,25000000,5000000,193201188,301324229,38.640238,60.264846,-0.6412,relative_loss
chr2,25000000,30000000,5000000,288486739,301722843,57.697348,60.344569,-0.0647,neutral_or_low_signal
chr2,30000000,35000000,5000000,306000488,343029785,61.200098,68.605957,-0.1648,neutral_or_low_signal
chr2,35000000,40000000,5000000,231618498,312423568,46.3237,62.484714,-0.4318,neutral_or_low_signal
chr2,40000000,45000000,5000000,231505160,310478205,46.301032,62.095641,-0.4234,neutral_or_low_signal
chr2,45000000,50000000,5000000,343065549,299377659,68.61311,59.875532,0.1965,neutral_or_low_signal
chr2,50000000,55000000,5000000,345402475,302542467,69.080495,60.508493,0.1911,neutral_or_low_signal
chr2,55000000,60000000,5000000,345844081,314347026,69.168816,62.869405,0.1378,neutral_or_low_signal
chr2,60000000,65000000,5000000,311128767,319415599,62.225753,63.88312,-0.0379,neutral_or_low_signal
chr2,65000000,70000000,5000000,225138451,311735087,45.02769,62.347017,-0.4695,neutral_or_low_signal
chr2,70000000,75000000,5000000,220183511,303412692,44.036702,60.682538,-0.4626,neutral_or_low_signal
chr2,75000000,80000000,5000000,225948870,303325576,45.189774,60.665115,-0.4249,neutral_or_low_signal
chr2,80000000,85000000,5000000,246790645,304227920,49.358129,60.845584,-0.3019,neutral_or_low_signal
chr2,85000000,90000000,5000000,382116801,278489809,76.42336,55.697962,0.4564,neutral_or_low_signal
chr2,90000000,95000000,5000000,360266653,272031488,72.053331,54.406298,0.4053,neutral_or_low_signal
chr2,95000000,100000000,5000000,378068048,308589587,75.61361,61.717917,0.293,neutral_or_low_signal
chr2,100000000,105000000,5000000,232028215,296208984,46.405643,59.241797,-0.3523,neutral_or_low_signal
chr2,105000000,110000000,5000000,116204557,297657608,23.240911,59.531522,-1.357,relative_loss
chr2,110000000,115000000,5000000,145590193,311436434,29.118039,62.287287,-1.097,relative_loss
chr2,115000000,120000000,5000000,271130141,296573733,54.226028,59.314747,-0.1294,neutral_or_low_signal
chr2,120000000,125000000,5000000,266291116,295050892,53.258223,59.010178,-0.148,neutral_or_low_signal
chr2,125000000,130000000,5000000,264517594,293751570,52.903519,58.750314,-0.1512,neutral_or_low_signal
chr2,130000000,135000000,5000000,268646000,298549970,53.7292,59.709994,-0.1523,neutral_or_low_signal
chr2,135000000,140000000,5000000,272795294,317710196,54.559059,63.542039,-0.2199,neutral_or_low_signal
chr2,140000000,145000000,5000000,274086711,316201212,54.817342,63.240242,-0.2062,neutral_or_low_signal
chr2,145000000,150000000,5000000,277873941,315205790,55.574788,63.041158,-0.1819,neutral_or_low_signal
chr2,150000000,155000000,5000000,277901075,316447510,55.580215,63.289502,-0.1874,neutral_or_low_signal
chr2,155000000,160000000,5000000,279190180,322507405,55.838036,64.501481,-0.2081,neutral_or_low_signal
chr2,160000000,165000000,5000000,366762359,318432875,73.352472,63.686575,0.2039,neutral_or_low_signal
chr2,165000000,170000000,5000000,405999204,313641606,81.199841,62.728321,0.3724,neutral_or_low_signal
chr2,170000000,175000000,5000000,408052024,316926390,81.610405,63.385278,0.3646,neutral_or_low_signal
chr2,175000000,180000000,5000000,403809493,317461964,80.761899,63.492393,0.3471,neutral_or_low_signal
chr2,180000000,185000000,5000000,398835313,319386997,79.767063,63.877399,0.3205,neutral_or_low_signal
chr2,185000000,190000000,5000000,404761142,320718892,80.952228,64.143778,0.3358,neutral_or_low_signal
chr2,190000000,195000000,5000000,268924450,320889228,53.78489,64.177846,-0.2549,neutral_or_low_signal
chr2,195000000,200000000,5000000,229836274,323286627,45.967255,64.657325,-0.4922,neutral_or_low_signal
chr2,200000000,205000000,5000000,252002167,313844111,50.400433,62.768822,-0.3166,neutral_or_low_signal
chr2,205000000,210000000,5000000,246778830,309093306,49.355766,61.818661,-0.3248,neutral_or_low_signal
chr2,210000000,215000000,5000000,251143220,320668628,50.228644,64.133726,-0.3526,neutral_or_low_signal
chr2,215000000,220000000,5000000,243836479,301940006,48.767296,60.388001,-0.3083,neutral_or_low_signal
chr2,220000000,225000000,5000000,258136366,304414865,51.627273,60.882973,-0.2379,neutral_or_low_signal
chr2,225000000,230000000,5000000,451562262,309386802,90.312452,61.87736,0.5455,relative_gain
chr2,230000000,235000000,5000000,364501264,299876994,72.900253,59.975399,0.2816,neutral_or_low_signal
chr2,235000000,240000000,5000000,327662632,281760056,65.532526,56.352011,0.2177,neutral_or_low_signal
chr2,240000000,242193529,2193529,134938767,121333950,61.516746,55.314496,0.1533,neutral_or_low_signal
chr3,0,5000000,5000000,336203941,310817826,67.240788,62.163565,0.1133,neutral_or_low_signal
chr3,5000000,10000000,5000000,336688208,302791828,67.337642,60.558366,0.1531,neutral_or_low_signal
chr3,10000000,15000000,5000000,323412360,293222160,64.682472,58.644432,0.1414,neutral_or_low_signal
chr3,15000000,20000000,5000000,339795219,318235305,67.959044,63.647061,0.0946,neutral_or_low_signal
chr3,20000000,25000000,5000000,341111367,310487265,68.222273,62.097453,0.1357,neutral_or_low_signal
chr3,25000000,30000000,5000000,345417885,311064034,69.083577,62.212807,0.1511,neutral_or_low_signal
chr3,30000000,35000000,5000000,339943111,306253587,67.988622,61.250717,0.1506,neutral_or_low_signal
chr3,35000000,40000000,5000000,334673955,305703873,66.934791,61.140775,0.1306,neutral_or_low_signal
chr3,40000000,45000000,5000000,332177156,303097194,66.435431,60.619439,0.1322,neutral_or_low_signal
chr3,45000000,50000000,5000000,320687458,303059425,64.137492,60.611885,0.0816,neutral_or_low_signal
chr3,50000000,55000000,5000000,323776156,300049039,64.755231,60.009808,0.1098,neutral_or_low_signal
chr3,55000000,60000000,5000000,284268771,310298514,56.853754,62.059703,-0.1264,neutral_or_low_signal
chr3,60000000,65000000,5000000,230875299,309562150,46.17506,61.91243,-0.4231,neutral_or_low_signal
chr3,65000000,70000000,5000000,216898126,309722633,43.379625,61.944527,-0.514,relative_loss
chr3,70000000,75000000,5000000,289545997,294629981,57.909199,58.925996,-0.0251,neutral_or_low_signal
chr3,75000000,80000000,5000000,268055727,308431109,53.611145,61.686222,-0.2024,neutral_or_low_signal
chr3,80000000,85000000,5000000,303405074,306368129,60.681015,61.273626,-0.014,neutral_or_low_signal
chr3,85000000,90000000,5000000,395905870,308883829,79.181174,61.776766,0.3581,neutral_or_low_signal
chr3,90000000,95000000,5000000,400837345,360648144,80.167469,72.129629,0.1524,neutral_or_low_signal
chr3,95000000,100000000,5000000,224550265,315358551,44.910053,63.07171,-0.49,neutral_or_low_signal
chr3,100000000,105000000,5000000,225741349,316142528,45.14827,63.228506,-0.4859,neutral_or_low_signal
chr3,105000000,110000000,5000000,225169911,312598694,45.033982,62.519739,-0.4733,neutral_or_low_signal
chr3,110000000,115000000,5000000,220294850,319384384,44.05897,63.876877,-0.5359,relative_loss
chr3,115000000,120000000,5000000,219851779,309477835,43.970356,61.895567,-0.4933,neutral_or_low_signal
chr3,120000000,125000000,5000000,216410262,311156084,43.282052,62.231217,-0.5239,relative_loss
chr3,125000000,130000000,5000000,297178283,295217753,59.435657,59.043551,0.0095,neutral_or_low_signal
chr3,130000000,135000000,5000000,416271865,310821141,83.254373,62.164228,0.4214,neutral_or_low_signal
chr3,135000000,140000000,5000000,463811677,306682532,92.762335,61.336506,0.5968,relative_gain
chr3,140000000,145000000,5000000,453085779,312081744,90.617156,62.416349,0.5379,relative_gain
chr3,145000000,150000000,5000000,431866551,313842730,86.37331,62.768546,0.4605,neutral_or_low_signal
chr3,150000000,155000000,5000000,425042223,317711656,85.008445,63.542331,0.4199,neutral_or_low_signal
chr3,155000000,160000000,5000000,420542872,310952641,84.108574,62.190528,0.4356,neutral_or_low_signal
chr3,160000000,165000000,5000000,284170433,305145273,56.834087,61.029055,-0.1027,neutral_or_low_signal
chr3,165000000,170000000,5000000,225131733,316661854,45.026347,63.332371,-0.4922,neutral_or_low_signal
chr3,170000000,175000000,5000000,383622061,320043118,76.724412,64.008624,0.2614,neutral_or_low_signal
chr3,175000000,180000000,5000000,385687779,313828077,77.137556,62.765615,0.2975,neutral_or_low_signal
chr3,180000000,185000000,5000000,355134771,308553709,71.026954,61.710742,0.2028,neutral_or_low_signal
chr3,185000000,190000000,5000000,306640874,309096971,61.328175,61.819394,-0.0115,neutral_or_low_signal
chr3,190000000,195000000,5000000,274588511,309799973,54.917702,61.959995,-0.1741,neutral_or_low_signal
chr3,195000000,198295559,3295559,137449446,204623179,41.707475,62.090583,-0.5741,relative_loss
chr4,0,5000000,5000000,203763020,284248824,40.752604,56.849765,-0.4803,neutral_or_low_signal
chr4,5000000,10000000,5000000,207308329,275556027,41.461666,55.111205,-0.4106,neutral_or_low_signal
chr4,10000000,15000000,5000000,208900166,291582814,41.780033,58.316563,-0.4811,neutral_or_low_signal
chr4,15000000,20000000,5000000,122602213,297464910,24.520443,59.492982,-1.2787,relative_loss
chr4,20000000,25000000,5000000,128301411,299548698,25.660282,59.90974,-1.2233,relative_loss
chr4,25000000,30000000,5000000,277474593,302660935,55.494919,60.532187,-0.1253,neutral_or_low_signal
chr4,30000000,35000000,5000000,276230166,301211587,55.246033,60.242317,-0.1249,neutral_or_low_signal
chr4,35000000,40000000,5000000,277347777,319506750,55.469555,63.90135,-0.2041,neutral_or_low_signal
chr4,40000000,45000000,5000000,275564251,307537546,55.11285,61.507509,-0.1584,neutral_or_low_signal
chr4,45000000,50000000,5000000,422512651,454427407,84.50253,90.885481,-0.1051,neutral_or_low_signal
chr4,50000000,55000000,5000000,341062434,352180913,68.212487,70.436183,-0.0463,neutral_or_low_signal
chr4,55000000,60000000,5000000,292316514,298254083,58.463303,59.650817,-0.029,neutral_or_low_signal
chr4,60000000,65000000,5000000,289432749,294837287,57.88655,58.967457,-0.0267,neutral_or_low_signal
chr4,65000000,70000000,5000000,292076370,306977947,58.415274,61.395589,-0.0718,neutral_or_low_signal
chr4,70000000,75000000,5000000,315041711,319369743,63.008342,63.873949,-0.0197,neutral_or_low_signal
chr4,75000000,80000000,5000000,297577303,319650236,59.515461,63.930047,-0.1032,neutral_or_low_signal
chr4,80000000,85000000,5000000,285364770,313666755,57.072954,62.733351,-0.1364,neutral_or_low_signal
chr4,85000000,90000000,5000000,324837187,323079247,64.967437,64.615849,0.0078,neutral_or_low_signal
chr4,90000000,95000000,5000000,385557008,313204631,77.111402,62.640926,0.2998,neutral_or_low_signal
chr4,95000000,100000000,5000000,467579177,310098622,93.515835,62.019724,0.5925,relative_gain
chr4,100000000,105000000,5000000,386434420,319096753,77.286884,63.819351,0.2762,neutral_or_low_signal
chr4,105000000,110000000,5000000,376565275,311953642,75.313055,62.390728,0.2716,neutral_or_low_signal
chr4,110000000,115000000,5000000,381292540,324968498,76.258508,64.9937,0.2306,neutral_or_low_signal
chr4,115000000,120000000,5000000,375137716,308352037,75.027543,61.670407,0.2828,neutral_or_low_signal
chr4,120000000,125000000,5000000,382170944,312901784,76.434189,62.580357,0.2885,neutral_or_low_signal
chr4,125000000,130000000,5000000,372373205,308122832,74.474641,61.624566,0.2732,neutral_or_low_signal
chr4,130000000,135000000,5000000,351453540,300514225,70.290708,60.102845,0.2259,neutral_or_low_signal
chr4,135000000,140000000,5000000,264234293,306860938,52.846859,61.372188,-0.2158,neutral_or_low_signal
chr4,140000000,145000000,5000000,192757227,310002205,38.551445,62.000441,-0.6855,relative_loss
chr4,145000000,150000000,5000000,172609068,314391424,34.521814,62.878285,-0.8651,relative_loss
chr4,150000000,155000000,5000000,173681375,317069628,34.736275,63.413926,-0.8684,relative_loss
chr4,155000000,160000000,5000000,177915475,311573481,35.583095,62.314696,-0.8084,relative_loss
chr4,160000000,165000000,5000000,174225064,307750013,34.845013,61.550003,-0.8208,relative_loss
chr4,165000000,170000000,5000000,184622217,309961704,36.924443,61.992341,-0.7475,relative_loss
chr4,170000000,175000000,5000000,243893605,308030648,48.778721,61.60613,-0.3368,neutral_or_low_signal
chr4,175000000,180000000,5000000,243307352,306296373,48.66147,61.259275,-0.3321,neutral_or_low_signal
chr4,180000000,185000000,5000000,238843210,296168705,47.768642,59.233741,-0.3104,neutral_or_low_signal
chr4,185000000,190000000,5000000,236001787,290602120,47.200357,58.120424,-0.3002,neutral_or_low_signal
chr4,190000000,190214555,214555,29261955,32028082,136.3844,149.276791,-0.1303,neutral_or_low_signal
chr5,0,5000000,5000000,617601583,275679383,123.520317,55.135877,1.1637,relative_gain
chr5,5000000,10000000,5000000,557850073,289682120,111.570015,57.936424,0.9454,relative_gain
chr5,10000000,15000000,5000000,440700685,315431343,88.140137,63.086269,0.4825,neutral_or_low_signal
chr5,15000000,20000000,5000000,448509359,302183666,89.701872,60.436733,0.5697,relative_gain
chr5,20000000,25000000,5000000,445396057,301417653,89.079211,60.283531,0.5633,relative_gain
chr5,25000000,30000000,5000000,446867053,302166915,89.373411,60.433383,0.5645,relative_gain
chr5,30000000,35000000,5000000,453200548,312682642,90.64011,62.536528,0.5354,relative_gain
chr5,35000000,40000000,5000000,414779347,311403439,82.955869,62.280688,0.4136,neutral_or_low_signal
chr5,40000000,45000000,5000000,340617796,313139160,68.123559,62.627832,0.1213,neutral_or_low_signal
chr5,45000000,50000000,5000000,224256793,198471153,44.851359,39.694231,0.1762,neutral_or_low_signal
chr5,50000000,55000000,5000000,227826139,308846010,45.565228,61.769202,-0.439,neutral_or_low_signal
chr5,55000000,60000000,5000000,225379505,319703531,45.075901,63.940706,-0.5044,relative_loss
chr5,60000000,65000000,5000000,221101764,316441225,44.220353,63.288245,-0.5172,relative_loss
chr5,65000000,70000000,5000000,216009904,307147131,43.201981,61.429426,-0.5078,relative_loss
chr5,70000000,75000000,5000000,204842764,293782937,40.968553,58.756587,-0.5202,relative_loss
chr5,75000000,80000000,5000000,219637842,319705632,43.927568,63.941126,-0.5416,relative_loss
chr5,80000000,85000000,5000000,225526193,314296331,45.105239,62.859266,-0.4788,neutral_or_low_signal
chr5,85000000,90000000,5000000,222246329,314137588,44.449266,62.827518,-0.4992,neutral_or_low_signal
chr5,90000000,95000000,5000000,226833808,312868516,45.366762,62.573703,-0.4639,neutral_or_low_signal
chr5,95000000,100000000,5000000,225704281,325479507,45.140856,65.095901,-0.5281,relative_loss
chr5,100000000,105000000,5000000,224874010,317042857,44.974802,63.408571,-0.4956,neutral_or_low_signal
chr5,105000000,110000000,5000000,213311598,319013777,42.66232,63.802755,-0.5807,relative_loss
chr5,110000000,115000000,5000000,222687794,322676300,44.537559,64.53526,-0.5351,relative_loss
chr5,115000000,120000000,5000000,221687061,314973087,44.337412,62.994617,-0.5067,relative_loss
chr5,120000000,125000000,5000000,227990073,315313469,45.598015,63.062694,-0.4678,neutral_or_low_signal
chr5,125000000,130000000,5000000,226142248,311754818,45.22845,62.350964,-0.4632,neutral_or_low_signal
chr5,130000000,135000000,5000000,221329278,312317436,44.265856,62.463487,-0.4968,neutral_or_low_signal
chr5,135000000,140000000,5000000,228815371,306857472,45.763074,61.371494,-0.4234,neutral_or_low_signal
chr5,140000000,145000000,5000000,320910640,311073045,64.182128,62.214609,0.0449,neutral_or_low_signal
chr5,145000000,150000000,5000000,320107461,302024834,64.021492,60.404967,0.0839,neutral_or_low_signal
chr5,150000000,155000000,5000000,311646423,304130069,62.329285,60.826014,0.0352,neutral_or_low_signal
chr5,155000000,160000000,5000000,317522848,311993247,63.50457,62.398649,0.0253,neutral_or_low_signal
chr5,160000000,165000000,5000000,316950467,308773473,63.390093,61.754695,0.0377,neutral_or_low_signal
chr5,165000000,170000000,5000000,310787440,296669331,62.157488,59.333866,0.0671,neutral_or_low_signal
chr5,170000000,175000000,5000000,301850354,294088266,60.370071,58.817653,0.0376,neutral_or_low_signal
chr5,175000000,180000000,5000000,292645814,287979038,58.529163,57.595808,0.0232,neutral_or_low_signal
chr5,180000000,181538259,1538259,83347409,84449999,54.182949,54.899727,-0.019,neutral_or_low_signal
chr6,0,5000000,5000000,491134521,160981256,98.226904,32.196251,1.6092,relative_gain
chr6,5000000,10000000,5000000,439177673,155673119,87.835535,31.134624,1.4963,relative_gain
chr6,10000000,15000000,5000000,391219795,158445363,78.243959,31.689073,1.304,relative_gain
chr6,15000000,20000000,5000000,400528077,154322737,80.105615,30.864547,1.3759,relative_gain
chr6,20000000,25000000,5000000,421182783,157078007,84.236557,31.415601,1.423,relative_gain
chr6,25000000,30000000,5000000,410497496,154840150,82.099499,30.96803,1.4066,relative_gain
chr6,30000000,35000000,5000000,361474571,151201192,72.294914,30.240238,1.2574,relative_gain
chr6,35000000,40000000,5000000,361424364,154996518,72.284873,30.999304,1.2215,relative_gain
chr6,40000000,45000000,5000000,363090674,150150025,72.618135,30.030005,1.2739,relative_gain
chr6,45000000,50000000,5000000,268871220,157012909,53.774244,31.402582,0.776,relative_gain
chr6,50000000,55000000,5000000,209419299,158973909,41.88386,31.794782,0.3976,neutral_or_low_signal
chr6,55000000,60000000,5000000,309887917,237671180,61.977583,47.534236,0.3828,neutral_or_low_signal
chr6,60000000,65000000,5000000,296011615,289600180,59.202323,57.920036,0.0316,neutral_or_low_signal
chr6,65000000,70000000,5000000,227122966,308962445,45.424593,61.792489,-0.444,neutral_or_low_signal
chr6,70000000,75000000,5000000,438664495,319887607,87.732899,63.977521,0.4556,neutral_or_low_signal
chr6,75000000,80000000,5000000,251710168,308392976,50.342034,61.678595,-0.293,neutral_or_low_signal
chr6,80000000,85000000,5000000,245177494,315323453,49.035499,63.064691,-0.363,neutral_or_low_signal
chr6,85000000,90000000,5000000,157406294,315775424,31.481259,63.155085,-1.0044,relative_loss
chr6,90000000,95000000,5000000,80475502,306692726,16.0951,61.338545,-1.9302,relative_loss
chr6,95000000,100000000,5000000,118787294,302107059,23.757459,60.421412,-1.3467,relative_loss
chr6,100000000,105000000,5000000,92764545,307658522,18.552909,61.531704,-1.7297,relative_loss
chr6,105000000,110000000,5000000,256039817,309801157,51.207963,61.960231,-0.275,neutral_or_low_signal
chr6,110000000,115000000,5000000,314198483,316610226,62.839697,63.322045,-0.011,neutral_or_low_signal
chr6,115000000,120000000,5000000,461606267,317736265,92.321253,63.547253,0.5388,relative_gain
chr6,120000000,125000000,5000000,384679537,305379437,76.935907,61.075887,0.3331,neutral_or_low_signal
chr6,125000000,130000000,5000000,312321047,329052212,62.464209,65.810442,-0.0753,neutral_or_low_signal
chr6,130000000,135000000,5000000,310505602,315688979,62.10112,63.137796,-0.0239,neutral_or_low_signal
chr6,135000000,140000000,5000000,304519196,319095648,60.903839,63.81913,-0.0675,neutral_or_low_signal
chr6,140000000,145000000,5000000,300812074,318053750,60.162415,63.61075,-0.0804,neutral_or_low_signal
chr6,145000000,150000000,5000000,295642561,313543439,59.128512,62.708688,-0.0848,neutral_or_low_signal
chr6,150000000,155000000,5000000,288188259,308664097,57.637652,61.732819,-0.099,neutral_or_low_signal
chr6,155000000,160000000,5000000,287691635,310398074,57.538327,62.079615,-0.1096,neutral_or_low_signal
chr6,160000000,165000000,5000000,215998111,294929213,43.199622,58.985843,-0.4493,neutral_or_low_signal
chr6,165000000,170000000,5000000,257236449,284134278,51.44729,56.826856,-0.1435,neutral_or_low_signal
chr6,170000000,170805979,805979,40463936,39524774,50.204703,49.039459,0.0339,neutral_or_low_signal
chr7,0,5000000,5000000,345426438,273845909,69.085288,54.769182,0.335,neutral_or_low_signal
chr7,5000000,10000000,5000000,376833656,303925078,75.366731,60.785016,0.3102,neutral_or_low_signal
chr7,10000000,15000000,5000000,287826212,307867282,57.565242,61.573456,-0.0971,neutral_or_low_signal
chr7,15000000,20000000,5000000,289465724,313062847,57.893145,62.612569,-0.1131,neutral_or_low_signal
chr7,20000000,25000000,5000000,197451419,315750325,39.490284,63.150065,-0.6773,relative_loss
chr7,25000000,30000000,5000000,296589679,312721629,59.317936,62.544326,-0.0764,neutral_or_low_signal
chr7,30000000,35000000,5000000,341250217,309003609,68.250043,61.800722,0.1432,neutral_or_low_signal
chr7,35000000,40000000,5000000,337255793,315637466,67.451159,63.127493,0.0956,neutral_or_low_signal
chr7,40000000,45000000,5000000,343207347,302622094,68.641469,60.524419,0.1816,neutral_or_low_signal
chr7,45000000,50000000,5000000,345397330,300046510,69.079466,60.009302,0.2031,neutral_or_low_signal
chr7,50000000,55000000,5000000,329596088,297440561,65.919218,59.488112,0.1481,neutral_or_low_signal
chr7,55000000,60000000,5000000,501427217,317775293,100.285443,63.555059,0.658,relative_gain
chr7,60000000,65000000,5000000,584908919,288946419,116.981784,57.789284,1.0174,relative_gain
chr7,65000000,70000000,5000000,377904038,295760721,75.580808,59.152144,0.3536,neutral_or_low_signal
chr7,70000000,75000000,5000000,306438187,281016202,61.287637,56.20324,0.1249,neutral_or_low_signal
chr7,75000000,80000000,5000000,522842763,295422746,104.568553,59.084549,0.8236,relative_gain
chr7,80000000,85000000,5000000,588253289,321722738,117.650658,64.344548,0.8706,relative_gain
chr7,85000000,90000000,5000000,586889759,326942354,117.377952,65.388471,0.8441,relative_gain
chr7,90000000,95000000,5000000,577393493,320370658,115.478699,64.074132,0.8498,relative_gain
chr7,95000000,100000000,5000000,552260928,298172795,110.452186,59.634559,0.8892,relative_gain
chr7,100000000,105000000,5000000,533352588,307722625,106.670518,61.544525,0.7935,relative_gain
chr7,105000000,110000000,5000000,544492925,315045299,108.898585,63.00906,0.7894,relative_gain
chr7,110000000,115000000,5000000,612883784,307284948,122.576757,61.45699,0.996,relative_gain
chr7,115000000,120000000,5000000,717135866,319208837,143.427173,63.841767,1.1677,relative_gain
chr7,120000000,125000000,5000000,523055440,318588233,104.611088,63.717647,0.7153,relative_gain
chr7,125000000,130000000,5000000,458815405,310417583,91.763081,62.083517,0.5637,relative_gain
chr7,130000000,135000000,5000000,466354086,302521000,93.270817,60.5042,0.6244,relative_gain
chr7,135000000,140000000,5000000,501228766,309575640,100.245753,61.915128,0.6952,relative_gain
chr7,140000000,145000000,5000000,513178318,303696360,102.635664,60.739272,0.7568,relative_gain
chr7,145000000,150000000,5000000,608860355,294770747,121.772071,58.954149,1.0465,relative_gain
chr7,150000000,155000000,5000000,739208164,290593200,147.841633,58.11864,1.347,relative_gain
chr7,155000000,159345973,4345973,698916413,247673013,160.819318,56.989082,1.4967,relative_gain
chr8,0,5000000,5000000,209246199,274806318,41.84924,54.961264,-0.3932,neutral_or_low_signal
